,,,,
,,,,
,Linear,Quadratic,Cubic,Logarithmic
,5,9,18,2
,6,21,64,4
,9,37,149,4
,11,57,286,6
,13,82,490,7
,17,113,795,7
,17,151,1189,7
,19,189,1658,9
,22,230,2308,9
,24,273,3079,10
,26,336,3986,9
,28,385,5098,9
,30,430,6345,9
,33,511,7765,9
,34,580,9355,10
,37,664,11296,11
,39,754,13454,12
,41,828,15914,12
,43,928,18361,11
,45,1012,21282,12
,48,1124,,12
,51,1228,,12
,55,1331,,11
,58,1451,,11
,61,1559,,11
,63,1682,,12
,63,1791,,11
,63,1943,,11
,65,2068,,11
,68,2223,,11
,70,2341,,12
,72,2511,,13
,74,2653,,14
,78,2819,,14
,85,2982,,13
,87,3157,,13
,90,3327,,14
,90,3493,,14
,86,3689,,14
,89,3892,,14
,90,4067,,14
,93,4259,,14
,96,4460,,14
,107,4661,,14
,107,4877,,14
,106,5128,,15
,112,5315,,13
,114,5504,,14
,117,5768,,14
,121,6001,,14
