,,,,
,,,,
,PowRec1,PowRec2,PowRec3,PowRec4
,7,5,4,5
,15,7,7,7
,35,9,6,6
,72,12,9,9
,139,13,9,8
,284,18,9,9
,559,18,9,8
,1182,20,11,11
,2387,23,11,11
,4661,26,11,11
,9191,29,11,11
,18894,30,11,11
,,33,11,12
,,33,12,12
,,38,12,12
,,40,14,14
,,41,14,13
,,43,14,14
,,46,14,14
,,48,13,14
,,52,14,13
,,54,14,14
,,57,14,14
,,58,14,14
,,60,14,14
,,59,14,15
,,65,13,14
,,68,14,14
,,69,13,14
,,74,14,13
,,76,13,14
,,77,16,16
,,81,17,16
,,79,16,15
,,82,16,16
,,87,16,16
,,89,16,16
,,91,15,16
,,91,16,16
,,96,16,16
,,97,17,16
,,96,15,16
,,96,17,16
,,98,16,17
,,99,16,16
,,110,15,16
,,111,16,16
,,113,16,15
,,118,16,17
,,119,15,16
